content,anger,fear,joy,sadness,surprise
"Previously on "The Flash"...",0,0,0,0,0
"My cure will work.",0,0,1,0,0
"Or turn them into meta-humans.",0,0,1,0,0
"Beginning biopsy examination on Patient 1-A, Mitch Romero.",0,0,0,0,0
"I want to become a defense attorney for meta-humans.",0,0,0,0,0
"Babe, do you know how many people you could help in this city?",0,0,1,0,0
"Hi, I'm here about the internship.",0,0,1,0,0
"Welcome to "The Citizen."",0,0,1,0,0
"In order for billions to survive, the Flash must die.",0,0,0,0,0
"I'm gonna go see this Crisis for myself.",0,0,0,1,0
"The only timeline where you all survived was if I died.",0,0,0,1,0
"So what do we tell them?",0,0,0,0,1
"Whatever we're gonna do, we can't tell the team I'm gonna die.",0,0,0,1,0
"Add all these to the inventory, boys.",0,0,1,0,0
"Tomorrow's bake sale is gonna be a real treat.",0,0,1,0,0
"Who died and made you boss?",0,0,0,0,0
"Mitch Romero.",0,0,0,0,0
"Still no word from him?",0,0,0,1,0
"That makes Romero missing, not dead.",0,0,0,1,0
"In our line of work, what's the difference?",0,0,0,0,1
"This is my crew now.",0,0,0,0,0
"Fan out. Whoever's here, put him down.",1,0,0,0,0
"Romero?",0,0,0,0,0
"The Monitor?",0,0,0,0,1
"Where did you see him?",0,0,0,0,1
"We went in the Time Vault, right after putting Chester in the MAC.",0,0,0,0,0
"The Crisis that he spoke about last year, it's the same one in the plinth's newspaper.",0,0,0,0,0
"And it's not coming in 2024.",0,0,0,0,0
"It's coming December 10th... 2019. - Are you sure about this? - The jackass lied to you.",1,0,0,0,0
"Yeah, well, we thought so, too, but...",0,0,0,0,0
"Barry went to Earth-3, and Jay Garrick helped him see that it was true.",0,0,0,0,0
"How did he do that?",0,0,0,0,1
"Jay projected my mind forward into the future.",0,0,0,0,0
"Okay. And what did you see?",0,0,0,0,1
"I saw a giant wave of anti-matter sweeping over our Earth.",0,1,0,0,0
"Vaporized all of Central City and everybody in it.",0,1,0,1,0
"Including you three.",0,0,0,0,0
"Great. I'll go mark my calendar.",0,0,1,0,0
"We still have seven weeks to make sure none of this happens.",0,1,0,1,0
"Guys, Barry's right.",0,0,1,0,0
"We've changed the future before.",0,0,1,0,0
"We can change it again.",0,0,1,0,0
"So what else did our Asgardian cosplayer say?",0,0,0,0,1
"That was pretty much it.",0,0,0,0,0
"It's Joe.",0,0,0,0,0
"Needs me at CCPD, but that can wait.",0,0,0,0,0
"We--we need to get on this.",0,0,0,0,0
"Yeah, we should spend every minute we have on this.",0,0,0,0,0
"No, guys, look, what we should do is take a well-deserved time-out and come back tomorrow with clear heads.",0,0,1,0,0
"Okay. If you think so.",0,0,1,0,0
"What now?",0,0,0,0,1
"I have to prepare them for what's coming.",0,0,0,0,0
"They have to be ready to go on without me.",0,0,0,1,0
"I guess I know who I need to start with.",0,0,1,0,0
"Mom?",0,0,1,0,1
"Ralphy!",0,0,0,0,1
"Ralph, oh, come here, baby. - Those stupid things. - What happened?",0,0,0,1,1
"Last night, 10:00 p.M., the Avenue M pawn shop was robbed at gunpoint.",1,0,0,1,0
"The shop owner ID'd your mom as the perp, so we had to hold her.",0,0,0,1,0
"Charges pending.",0,0,0,0,0
"Mrs. Dibny, this is Cecile Horton.",0,0,0,0,0
"Ralph.",0,0,0,0,0
"Good luck.",0,0,1,0,0
"Look, Cecile, yes, my mom has an eventful past, but...",0,0,0,0,0
