content,anger,fear,joy,sadness,surprise
"My name is Oliver Queen.",0,0,0,0,0
"For 7 years, I have fought with only one goal-- to save my city.",0,0,1,0,0
"But now a new threat has emerged, a danger so severe it has forced me to leave my family in order to face it, and it won't be enough for me to just be the Green Arrow.",0,1,0,0,0
"To prevent the crisis that's coming,",0,1,0,0,0
"I am going to have to become someone else,",0,0,0,1,0
"I am going to have to become...something else.",0,0,0,1,0
"We see the wall coming down as an opportunity,",0,0,1,0,0
"For the criminals of Star City to rob the Glades blind.",0,0,0,0,0
"The Deathstroke gang has really upped their game.",0,1,0,0,0
"They've amassed more territory and power than ever before.",0,1,0,0,0
"Your brother hates you. That makes things unpredictable.",0,1,0,0,0
"Vasquez is one of the Glades' wealthiest citizens.",0,0,0,0,0
"Maybe the Deathstrokes plan to extort him.",0,0,0,0,0
"A crisis is coming, John.",0,1,0,0,0
"What are you doing here?",1,0,0,0,0
"Reminding you what you are doing here, which does not include interfering in the events of this earth. - The city's under attack. - By who?",0,1,0,0,0
"A crisis is imminent.",0,1,0,0,0
"Someone is coming,",0,1,0,0,0
"Someone far, far more powerful than myself.",0,1,0,0,0
"We have to get the hell out of here.",0,0,0,0,0
"I missed you, buddy.",0,0,0,1,0
"We found ourselves in each other.",0,0,1,0,0
"You're never without me.",0,0,0,0,0
"What's happening?",0,1,0,0,0
"I warned you not to interfere.",1,0,0,0,0
"You didn't bring us here?",0,0,0,0,0
"No. I discovered what had transpired on Earth-2, that you intervened to save Laurel Lance.",0,0,0,0,0
"I redirected you.",0,0,0,0,0
"What...the hell happened back there?",0,0,0,0,1
"A herald of what is to come, an entire world erased from existence.",0,0,0,0,0
"Where's my mother?",0,0,0,0,0
"Where's--where's Tommy?",0,1,0,0,0
"Where's Rene, where's Dinah?",0,1,0,0,0
"They are no more.",0,1,0,0,0
"Did you hurt John and Laurel?",0,0,0,0,0
"They are alive and nearby, but now you know that if we fail to stop the coming crisis, what you witnessed will occur on infinite earths across the expanse of time.",0,1,0,0,0
"How did I fail? Your dwarf star particles are right there.",0,1,0,0,0
"You disobeyed my instructions to avoid entanglements on a parallel earth.",1,0,0,0,0
"You confronted Tommy Merlyn.",0,0,0,0,0
"You altered the fate of Laurel Lance.",0,0,0,0,0
"I watched her die once.",0,0,0,1,0
"Ok. I wasn't prepared to do it again.",0,0,0,0,0
