content,anger,fear,joy,sadness,surprise
"18",0,0,0,0,0
"You are a Cicada.",1,0,0,0,0
"I don't think I can do it.",0,0,0,1,0
"I know you can. I believe in you.",0,0,1,0,0
"We've got Matt Edwards on the ground.",0,0,0,0,1
"She's a journalist. - Used to be. - Tara Coleman.",0,0,0,0,0
"I have a daughter. Bring her to the Ecuadoran embassy in Paris.",0,0,1,0,0
"We don't have much time. They're waking them up. - Waking who up? - Cicadas.",0,1,0,0,0
"It is starting again. - What's starting again? - Treadstone.",0,0,0,0,1
"We did shut down Treadstone, right?",0,0,0,0,1
"It was bigger than we thought.",0,0,0,0,1
"Do I know you?",0,0,0,0,1
"Those memories... they're just...gone.",0,0,0,1,0
"You don't know how much I missed you, John.",0,0,1,0,0
"I can't remember my combination.",0,0,0,1,0
"Try zero, nine, zero, nine, 69. "Fortunate Son" Release date.",0,0,0,0,1
"Ah, you wore that record out in Hanoi.",0,0,0,0,1
"Thanks, Frank.",0,0,1,0,0
"Never got a chance to thank you.",0,0,1,0,0
"Don't bother.",0,0,1,0,0
"You would've done the same for me.",0,0,1,0,0
"No, don't play it down, John.",1,0,0,0,0
"Fact is, you really did it.",0,0,1,0,0
"You let them take you, and that gave me enough time to escape.",0,0,1,0,0
"Ah, it all worked out in the end.",0,0,1,0,0
"Always said if we could make it through the jungles of Vietnam, we could handle anything together. - Well, it's a different kind of jungle now. - Yeah.",0,0,1,0,0
"You see Matheson out there?",0,0,0,0,1
"He just got back. Let him get his bearings.",0,0,1,0,0
"Hey, man, that's easy for you to say. My partner's still out there.",0,0,1,0,0
"I don't know where he is, Pete.",0,0,0,1,0
"Hey, come on, give him some space, Wilson.#1,0,0,0,0
"Hey, what did they tell my mother?",0,0,0,0,1
"Agency protocol.",0,0,0,0,0
"So she thinks I'm dead?",1,0,0,1,0
"I was only gone a week.",1,0,0,0,0
"John, you were missing for nine months.",1,0,0,1,0
"How you holding up?",0,0,0,0,1
"I've lost nine months.",0,0,0,1,0
"I have no idea what happened to me during that time, and my mother thinks I'm dead.",0,0,0,1,0
"How do you think I'm holding up, Frank? - Yeah, I know you got to be spinning. - Then why'd you ask?",1,0,0,0,1
"I figured it was a better approach than the awkward silence that happens when two guys don't know what the hell is really going on.",0,0,0,1,0
"What is going on? - The station chief is gonna have questions--lots of them.",0,0,0,0,1
"Are you ready to give them answers?",0,0,0,0,1
"Yeah, I'll give them everything I can remember.",0,0,1,0,0
"Like anything they did to you while you were gone.",0,0,1,0,0
"Well, I don't remember any details.",0,0,0,1,0
"Well, was there anyone that you were connected with, someone that we could identify or leverage?",0,0,0,0,1
"It's so nice to see you back, Mr. Bentley.",0,0,1,0,0
"It's good to be home, Margie.",0,0,1,0,0
"Nine months is a long time behind the curtain.",0,1,0,1,0
"Chief just wants you to tell them what you do remember.",1,0,0,0,0
"I'll be right outside, pal.",0,0,1,0,0
"Dennis Kohler. I'm the new station chief.",0,0,0,0,0
"Welcome home, Bentley.",0,0,1,0,0
"Thank you, sir.",0,0,1,0,0
"Sounds like you've been to hell and back.",0,1,0,0,1
"I speak for everyone in this station when I say we're glad you came home in one piece.",0,0,1,0,0
"What happened to Morris?",0,0,0,0,1
"Morris's wife had a baby. He's back in D. C.",0,0,1,0,0
"Why don't you start at the beginning, John?",0,0,1,0,0
"Frank Ferguson and I deployed to Krakow to gather intel on a Soviet control program code-named Tsikada being headed by a former Nazi named Dr. Gustav Meisner. - We were there two weeks. - What did you learn?",0,0,0,0,0
"Meisner's lab was located inside a Soviet prison on the outskirts of town.",0,0,0,0,0
"That's where he had an endless supply of subjects.",0,0,0,1,0
"We were able to confirm that this...",0,0,0,0,0
"Tsikada program was designed to create human weapons.",1,1,0,0,0
"Explain that.",0,0,0,0,0
"They developed a method to strip away a person's identity.",1,0,0,0,0
"Employed hypnosis, uh, drugs, electrical stimulation in certain areas of the brain.",1,0,0,0,0
"To what end?",0,0,0,0,1
"To make people do things that they would never normally consider.",0,1,0,0,0
"Ferguson and I received orders to terminate Dr. Meisner and secure all of his research.",0,0,0,0,0
"Which... didn't go quite as planned.",0,0,0,1,0
"I was captured.",0,0,0,1,0
"Ferguson got away.",0,0,0,1,0
"He claims you sacrificed yourself for him.",0,0,0,1,0
"That's not exactly agency policy, but it's admirable.",0,0,1,0,0
"They tried to break me.",1,0,0,0,0
"Kept me in isolation... tortured me.... withheld food and water.",0,1,0,1,0
"Uh, I was drugged with hallucinogenics.",0,0,0,1,0
"I tried to hold on to something, you know?",0,0,0,0,1
"My name, my memories.",0,0,0,0,0
"Some thoughts of my own, but... it was like trying to grasp water in your hand.",0,0,0,0,0
"What do you remember?",0,0,0,0,1
"There was a woman with red hair.",0,0,0,0,0
"Her name was Petra.",0,0,0,0,0
"Somehow, she knew everything about me.",0,1,0,0,0
"I tried to fight it, but...",0,0,0,1,0
"My thoughts... they weren't my own.",0,1,0,0,0
"And how'd that make you feel?",0,0,0,0,1
"It's like I was becoming someone more...",0,0,0,0,0
"More whole. - More... - More what?",0,0,0,0,0
"Complete.",0,0,0,0,0
"I finished my mission.",0,0,1,0,0
"It never occurred to you that they let you finish it?",0,0,0,0,1
"No.",0,0,0,0,0
"Small price to pay in exchange for sending one of the CIA's own operatives back as a double agent.",0,0,0,0,0
"I'm not a traitor.",1,0,0,1,0
"I want to order some deeper psych evaluations, keep you under observation for a while.",0,0,0,0,0
"Prep him for transport.",0,0,0,0,0
"Cuffs... through the table.",0,0,0,0,0
"Talk some sense into him, Ferguson.",1,0,0,0,0
"What the hell did you just do?",1,0,0,0,0
"Sidearm, Frank.",0,0,0,0,0
"What now, John?",0,0,0,0,1
"I'm gonna walk out of here... and I'm gonna prove that I'm telling the truth.",0,0,0,1,0
"It's the most secure facility in West Berlin.",0,0,1,0,0
"You won't make it to the elevator.",0,0,0,0,0
"That's why he's coming with me.",0,0,0,0,0
"Access code only.",0,0,0,0,0
"Type the distress key, i'll put a bullet in your left knee.",1,0,0,0,0
"What the fuck, John?",1,0,0,0,0
"Kohler thinks I've been turned.",0,0,0,1,0
"He didn't give me any other choice.",0,0,0,1,0
"You didn't have to do this.",0,0,0,1,0
"You could've figured this out another way.",0,0,0,1,0
"Congratulations.",0,0,1,0,0
"What?",0,0,0,0,1
"We just made it to the elevator.",0,0,1,0,0
"Look, you saved my ass in Krakow, but I'm not hurting any station personnel to help you get out of here.",1,0,0,0,0
"Code 18, be advised-- possible situation on floor eight involving John Randolph Bentley.",0,0,0,0,0
"They're gonna think I helped you.",0,0,0,1,0
"No, they won't.",0,0,0,0,0
"You've been out the whole flight.",0,0,0,0,0
"Oh, man.",0,0,0,0,1
"I had too much to drink last night.",0,0,0,1,0
"What the hell happened at the bar?",1,0,0,0,0
"I don't know. It won't happen again.",0,0,0,1,0
"Well, if it does, warn me first.",0,0,0,0,0
"T-that woman I was with at the bar, are you sure you didn't see her?",0,0,0,0,1
"Nope. And even if I did, I wouldn't speak a word about it.",0,0,0,0,0
"Come on, man, it's not like that.",1,0,0,0,0
"You're going home to your wife tonight.",0,0,0,0,0
"What happens in the Arctic stays in the Arctic.",0,0,0,0,1
"Ladies and gentlemen, we are now making our final descent.",0,0,0,0,0
"Please make sure your seatbacks and--",0,0,0,0,0
"General Kwon's dead.",0,0,0,1,0
"They think it was a hit.",0,0,0,0,0
"He calls out Treadstone on an open wire, and 24 hours later, he's gone?",0,0,0,0,1
"Treadstone had a very wide scope.",0,0,0,0,0
"Like Blackbriar.",0,0,0,0,0
"Yes, but the one Kwon was referring to... is called Cicada.",0,0,0,0,0
"Cicada?",0,0,0,0,0
"Sleeper agents deployed into normal cover lives with no memory of their training.",0,0,0,0,0
"Well, how would Kwon have that intel?",0,0,0,0,1
"Because he was part of the program.",0,0,0,0,0
"Kwon was one of Cicada's handlers.",0,0,0,0,0
"What the fuck is going on, Ellen?",1,0,0,0,0
"I was there when that asset went rogue in New York, remember?",0,0,0,0,0
"I saw the hunt up close.",0,1,0,0,0
